------------------------------------------------------------
Server listening on TCP port 5555 with pid 10523
Read buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  4] local 10.0.0.8 port 5555 connected with 10.0.0.6 port 34048
[ ID] Interval            Transfer    Bandwidth       Reads   Dist(bin=16.0K)
[  4] 85.0000-86.0000 sec  4.03 MBytes  33.8 Mbits/sec  58    12:4:3:18:0:0:0:21
[  4] 86.0000-87.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 87.0000-88.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 88.0000-89.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 89.0000-90.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 90.0000-91.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 91.0000-92.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 92.0000-93.0000 sec  2.63 MBytes  22.0 Mbits/sec  50    21:3:1:11:1:0:0:13
[  4] 93.0000-94.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 94.0000-95.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 95.0000-96.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 96.0000-97.0000 sec  2.35 MBytes  19.7 Mbits/sec  46    19:4:1:9:1:0:0:12
[  4] 97.0000-98.0000 sec   445 KBytes  3.64 Mbits/sec  5    0:0:0:3:0:0:0:2
[  4] 98.0000-99.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 99.0000-100.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 100.0000-101.0000 sec  14.1 KBytes   116 Kbits/sec  1    1:0:0:0:0:0:0:0
[  4] 101.0000-102.0000 sec  2.54 MBytes  21.3 Mbits/sec  51    23:3:1:11:0:0:0:13
[  4] 102.0000-103.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 103.0000-104.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 104.0000-105.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 105.0000-106.0000 sec  3.16 MBytes  26.5 Mbits/sec  55    19:3:2:14:1:0:1:15
[  4] 106.0000-107.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 107.0000-108.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 108.0000-109.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 109.0000-110.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 110.0000-111.0000 sec   100 KBytes   822 Kbits/sec  16    16:0:0:0:0:0:0:0
[  4] 111.0000-112.0000 sec  2.59 MBytes  21.7 Mbits/sec  34    5:2:1:12:0:0:1:13
[  4] 112.0000-113.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 113.0000-114.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 114.0000-115.0000 sec  14.1 KBytes   116 Kbits/sec  1    1:0:0:0:0:0:0:0
[  4] 115.0000-116.0000 sec  3.20 MBytes  26.8 Mbits/sec  55    21:3:0:14:0:0:0:17
[  4] 116.0000-117.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 117.0000-118.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 118.0000-119.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 119.0000-120.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 120.0000-121.0000 sec   315 KBytes  2.58 Mbits/sec  25    21:2:1:1:0:0:0:0
[  4] 121.0000-122.0000 sec  2.75 MBytes  23.1 Mbits/sec  30    1:0:0:13:0:0:2:14
[  4] 122.0000-123.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 123.0000-124.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 124.0000-125.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 125.0000-126.0000 sec  83.4 KBytes   683 Kbits/sec  13    13:0:0:0:0:0:0:0
[  4] 126.0000-127.0000 sec  2.61 MBytes  21.9 Mbits/sec  38    8:3:1:12:0:0:2:12
[  4] 127.0000-128.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 128.0000-129.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 129.0000-130.0000 sec  14.1 KBytes   116 Kbits/sec  1    1:0:0:0:0:0:0:0
[  4] 130.0000-131.0000 sec  2.43 MBytes  20.4 Mbits/sec  47    20:2:2:10:1:0:0:12
[  4] 131.0000-132.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 132.0000-133.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 133.0000-134.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 134.0000-135.0000 sec  2.50 MBytes  21.0 Mbits/sec  49    22:2:1:11:0:0:2:11
[  4] 135.0000-136.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 136.0000-137.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 137.0000-138.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
