------------------------------------------------------------
Client connecting to 10.0.0.8, TCP port 5555 with pid 10527
Write buffer size: 9.54 MByte
TCP window size:  156 KByte (WARNING: requested 78.1 KByte)
------------------------------------------------------------
[  3] local 10.0.0.6 port 34048 connected with 10.0.0.8 port 5555 (ct=16.42 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 117.0000-118.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/18376 us  0.00
[  3] 118.0000-119.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/18376 us  0.00
[  3] 119.0000-120.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/18376 us  0.00
[  3] 120.0000-121.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/18376 us  0.00
[  3] 121.0000-122.0000 sec  2.69 MBytes  22.6 Mbits/sec  1/0          0      452K/16713 us  168.77
[  3] 122.0000-123.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/16713 us  0.00
[  3] 123.0000-124.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/16713 us  0.00
[  3] 124.0000-125.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/16713 us  0.00
[  3] 125.0000-126.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/16713 us  0.00
[  3] 126.0000-127.0000 sec  2.44 MBytes  20.5 Mbits/sec  1/0          0      452K/13274 us  192.86
[  3] 127.0000-128.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/13274 us  0.00
[  3] 128.0000-129.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/13274 us  0.00
[  3] 129.0000-130.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/13274 us  0.00
[  3] 130.0000-131.0000 sec  2.50 MBytes  21.0 Mbits/sec  1/0          0      452K/13780 us  190.51
[  3] 131.0000-132.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/13780 us  0.00
[  3] 132.0000-133.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/13780 us  0.00
[  3] 133.0000-134.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/13780 us  0.00
